Industry Name,Substance,Supply Chain Emission Factors with Margins
"Federal Reserve banks, credit intermediation, and related activities",nitrous oxide,0.0
"Federal Reserve banks, credit intermediation, and related activities",other GHGs,0.001
"Securities, commodity contracts, and investments",carbon dioxide,0.118
"Securities, commodity contracts, and investments",methane,0.001
"Securities, commodity contracts, and investments",nitrous oxide,0.0
"Securities, commodity contracts, and investments",other GHGs,0.002
Insurance carriers and related activities,carbon dioxide,0.04
Insurance carriers and related activities,methane,0.0
Insurance carriers and related activities,nitrous oxide,0.0
Insurance carriers and related activities,other GHGs,0.001
"Funds, trusts, and other financial vehicles",carbon dioxide,0.201
"Funds, trusts, and other financial vehicles",methane,0.001
"Funds, trusts, and other financial vehicles",nitrous oxide,0.0
"Funds, trusts, and other financial vehicles",other GHGs,0.002
Rental and leasing services and lessors of intangible assets,carbon dioxide,0.107
Rental and leasing services and lessors of intangible assets,methane,0.0
Rental and leasing services and lessors of intangible assets,nitrous oxide,0.0
Rental and leasing services and lessors of intangible assets,other GHGs,0.003
Legal services,carbon dioxide,0.064
Legal services,methane,0.0
Legal services,nitrous oxide,0.0
Legal services,other GHGs,0.001
"Miscellaneous professional, scientific, and technical services",carbon dioxide,0.085
"Miscellaneous professional, scientific, and technical services",methane,0.0
"Miscellaneous professional, scientific, and technical services",nitrous oxide,0.0
"Miscellaneous professional, scientific, and technical services",other GHGs,0.002
Computer systems design and related services,carbon dioxide,0.043
Computer systems design and related services,methane,0.0
Computer systems design and related services,nitrous oxide,0.0
Computer systems design and related services,other GHGs,0.004
Management of companies and enterprises,carbon dioxide,0.114
Management of companies and enterprises,methane,0.0
Management of companies and enterprises,nitrous oxide,0.0
Management of companies and enterprises,other GHGs,0.002
Administrative and support services,carbon dioxide,0.089
Administrative and support services,methane,0.001
Administrative and support services,nitrous oxide,0.0
Administrative and support services,other GHGs,0.004
Waste management and remediation services,carbon dioxide,0.271
Waste management and remediation services,methane,0.056
Waste management and remediation services,nitrous oxide,0.0
Waste management and remediation services,other GHGs,0.014
Educational services,carbon dioxide,0.182
Educational services,methane,0.001
Educational services,nitrous oxide,0.0
Educational services,other GHGs,0.003
Ambulatory health care services,carbon dioxide,0.092
Ambulatory health care services,methane,0.0
Ambulatory health care services,nitrous oxide,0.0
Ambulatory health care services,other GHGs,0.003
Hospitals,carbon dioxide,0.138
Hospitals,methane,0.001
Hospitals,nitrous oxide,0.0
Hospitals,other GHGs,0.003
Nursing and residential care facilities,carbon dioxide,0.15
Nursing and residential care facilities,methane,0.001
Nursing and residential care facilities,nitrous oxide,0.0
Nursing and residential care facilities,other GHGs,0.005
Social assistance,carbon dioxide,0.145
Social assistance,methane,0.001
Social assistance,nitrous oxide,0.0
Social assistance,other GHGs,0.004
"Performing arts, spectator sports, museums, and related activities",carbon dioxide,0.077
"Performing arts, spectator sports, museums, and related activities",methane,0.0
"Performing arts, spectator sports, museums, and related activities",nitrous oxide,0.0
"Performing arts, spectator sports, museums, and related activities",other GHGs,0.001
"Amusements, gambling, and recreation industries",carbon dioxide,0.175
"Amusements, gambling, and recreation industries",methane,0.001
"Amusements, gambling, and recreation industries",nitrous oxide,0.0
"Amusements, gambling, and recreation industries",other GHGs,0.003
Accommodation,carbon dioxide,0.166
Accommodation,methane,0.001
Accommodation,nitrous oxide,0.0
Accommodation,other GHGs,0.002
Food services and drinking places,carbon dioxide,0.22
Food services and drinking places,methane,0.001
Food services and drinking places,nitrous oxide,0.0
Food services and drinking places,other GHGs,0.006
"Other services, except government",carbon dioxide,0.127
"Other services, except government",methane,0.001
"Other services, except government",nitrous oxide,0.0
"Other services, except government",other GHGs,0.005
Housing,carbon dioxide,0.017
Housing,methane,0.0
Housing,nitrous oxide,0.0
Housing,other GHGs,0.001
Other real estate,carbon dioxide,0.414
Other real estate,methane,0.001
Other real estate,nitrous oxide,0.0
Other real estate,other GHGs,0.004
